id,name,pubchem_cid,旧blood(手填),旧prob_cctcm(脏),判定
ccMon00000096,"2,3,5,6-四甲基吡嗪",,0.76,0.76,回填脏值（非 ccTCM 模型输出）
ccMon00000115,2'-脱氧腺苷,,0.38,0.38,回填脏值（非 ccTCM 模型输出）
ccMon00000162,3-己烯-1-醇,10993.0,0.43,0.43,回填脏值（非 ccTCM 模型输出）
ccMon00000246,乙酰紫草素,,0.88,0.88,回填脏值（非 ccTCM 模型输出）
ccMon00000253,毛蕊花糖苷（类叶升麻苷；麦角甾苷）,90474101.0,0.39,0.39,回填脏值（非 ccTCM 模型输出）
ccMon00000254,腺嘌呤,,0.85,0.85,回填脏值（非 ccTCM 模型输出）
ccMon00000255,腺苷,,0.63,0.63,回填脏值（非 ccTCM 模型输出）
ccMon00000266,泽泻烯醇,86577299.0,0.8,0.8,回填脏值（非 ccTCM 模型输出）
ccMon00000267,环氧泽泻烯,10243299.0,0.92,0.92,回填脏值（非 ccTCM 模型输出）
ccMon00000269,24-乙酰泽泻醇A,24884081.0,0.4,0.4,回填脏值（非 ccTCM 模型输出）
ccMon00000271,23-乙酰泽泻醇B,138756747.0,0.43,0.43,回填脏值（非 ccTCM 模型输出）
ccMon00000275,茜草素,,0.44,0.44,回填脏值（非 ccTCM 模型输出）
ccMon00000277,别香橙烯,91746537.0,0.35,0.35,回填脏值（非 ccTCM 模型输出）
ccMon00000281,芦荟大黄素,,0.58,0.58,回填脏值（非 ccTCM 模型输出）
ccMon00000289,α-甜没药醇,1616126.0,0.81,0.81,回填脏值（非 ccTCM 模型输出）
ccMon00000301,α-金合欢烯,,0.7,0.7,回填脏值（非 ccTCM 模型输出）
ccMon00000300,α-法尼烯（α-金合欢烯）,5317320.0,0.52,0.52,回填脏值（非 ccTCM 模型输出）
ccMon00000314,α-水芹烯,443160.0,0.42,0.42,回填脏值（非 ccTCM 模型输出）
ccMon00000315,α-蒎烯,82227.0,0.48,0.48,回填脏值（非 ccTCM 模型输出）
ccMon00000336,白头翁皂苷B4,11636713.0,0.94,0.94,回填脏值（非 ccTCM 模型输出）
ccMon00000346,牛蒡苷元,230232.0,0.43,0.43,回填脏值（非 ccTCM 模型输出）
ccMon00000367,抗坏血酸,,0.37,0.37,回填脏值（非 ccTCM 模型输出）
ccMon00000384,白术内酯I,,0.78,0.78,回填脏值（非 ccTCM 模型输出）
ccMon00000392,扁蓄苷（广寄生苷）,5321278.0,0.55,0.55,回填脏值（非 ccTCM 模型输出）
ccMon00000402,苯丙呋喃,,0.8,0.8,回填脏值（非 ccTCM 模型输出）
ccMon00000405,苯甲酰乌头原碱,60155417.0,0.49,0.49,回填脏值（非 ccTCM 模型输出）
ccMon00000407,苯甲酰新乌头原碱,122173204.0,0.49,0.49,回填脏值（非 ccTCM 模型输出）
ccMon00000428,β-榄香烯,6431152.0,0.66,0.66,回填脏值（非 ccTCM 模型输出）
ccMon00000429,β-榄香酮酸,15559099.0,0.36,0.36,回填脏值（非 ccTCM 模型输出）
ccMon00000436,β-月桂烯,,0.42,0.42,回填脏值（非 ccTCM 模型输出）
ccMon00000440,β-水芹烯,442484.0,0.65,0.65,回填脏值（非 ccTCM 模型输出）
ccMon00000445,β-倍半水芹烯,519764.0,0.48,0.48,回填脏值（非 ccTCM 模型输出）
ccMon00000454,游离胆红素,,0.43,0.43,回填脏值（非 ccTCM 模型输出）
ccMon00000456,甜没药萜醇（红没药醇）,1616126.0,0.38,0.38,回填脏值（非 ccTCM 模型输出）
