id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00000058,10-姜酚,168115,0.572,0.9312,0.71,0.2657,0.91,B:导师特征,B:HERB库特征,干净,0.3592
ccMon00000041,"1, 2, 3, 4-四氢化萘",8404,0.08,0.1482,0.034,0.0882,0.32,B:导师特征,B:HERB库特征,干净,0.0682
ccMon00000054,"1,4-桉叶素",10106,0.096,0.2011,0.046,0.0462,0.48,B:导师特征,B:HERB库特征,干净,0.1051
ccMon00000073,1-十二烷醇,8193,0.091,0.2325,0.536,0.1029,0.89,B:导师特征,B:HERB库特征,干净,0.1415
ccMon00000096,"2,3,5,6-四甲基吡嗪",,0.76,0.4607,,0.08,0.76,A:SMILES,A:SMILES,回填脏值,-0.2993
ccMon00000101,"2,4-二羟基苯乙酮",6990,0.728,0.8974,0.438,0.2258,0.45,B:导师特征,B:HERB库特征,干净,0.1694
ccMon00000114,2'-乙酰毛蕊花糖苷,21629996,0.736,0.3685,0.4365,0.1822,0.44,B:导师特征,B:HERB库特征,干净,-0.3675
ccMon00000115,2'-脱氧腺苷,,0.38,0.3879,,0.0799,0.38,A:SMILES,A:SMILES,回填脏值,0.0079
ccMon00000137,甲基正壬酮,8163,0.098,0.7161,0.082,0.4307,0.74,B:导师特征,B:HERB库特征,干净,0.6181
ccMon00000161,3-表去氢土莫酸,15225964,0.958,0.9857,0.764,0.8375,0.34,B:导师特征,B:HERB库特征,干净,0.0277
ccMon00000162,3-己烯-1-醇,10993,0.43,0.1619,0.146,0.015,0.43,A:SMILES,B:HERB库特征,回填脏值,-0.2681
ccMon00000187,对羟基苯乙酮,7469,0.674,0.8712,0.686,0.6566,0.54,B:导师特征,B:HERB库特征,干净,0.1972
ccMon00000188,对羟基苯甲酸,135,0.942,0.9825,0.472,0.847,0.69,B:导师特征,B:HERB库特征,干净,0.0405
ccMon00000189,对羟基苯甲醇,125,0.324,0.8879,0.236,0.5986,0.51,B:导师特征,B:HERB库特征,干净,0.5639
ccMon00000212,5-去甲川陈皮素,358832,0.914,0.3275,0.251,0.3288,0.6,B:导师特征,B:HERB库特征,干净,-0.5865
ccMon00000234,8-姜酚,168114,0.816,0.9459,0.33,0.7357,0.69,B:导师特征,B:HERB库特征,干净,0.1299
ccMon00000243,刺槐素（金合欢素）,5280442,0.594,0.9579,0.9033,0.8011,0.43,B:导师特征,B:HERB库特征,干净,0.3639
ccMon00000244,醋酸,176,0.29,0.3667,0.054,0.0427,0.83,B:导师特征,B:HERB库特征,干净,0.0767
ccMon00000246,乙酰紫草素,,0.88,0.4895,,0.0713,0.88,A:SMILES,A:SMILES,回填脏值,-0.3905
ccMon00000251,乌头碱,245005,0.862,0.9682,0.7445,0.7912,0.72,B:导师特征,B:HERB库特征,干净,0.1062
ccMon00000253,毛蕊花糖苷（类叶升麻苷；麦角甾苷）,90474101,0.39,0.63,0.923,0.3294,0.39,A:SMILES,B:HERB库特征,回填脏值,0.24
ccMon00000254,腺嘌呤,,0.85,0.5661,,0.2206,0.85,A:SMILES,A:SMILES,回填脏值,-0.2839
ccMon00000255,腺苷,,0.63,0.6068,,0.1435,0.63,A:SMILES,A:SMILES,回填脏值,-0.0232
